obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.2074"	"380.20800+"	"700"	"2.08e+07"	B+	"15587.811"	"41881.739"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006,L3475"	
"380.3144"	"380.31460+"	"130"	"4.3e+06"	C+	"15587.811"	"41874.369"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"		"T6708"	"L2006"	
"380.7719"	"380.7721+"	"6000"	"4.8e+07"	B+	"8771.243"	"35026.22"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	""	"5/2"		"T6708"	"L2006,L3475"	
"382.6386"	"382.63861+"	"2900"	"2.94e+06"	B+	"0.000"	"26126.907"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"5/2"		"T6708"	"L2006,L3475"	
"382.6667"	"382.66692+"	"120"	"1.08e+06"	C	"13119.610"	"39244.584"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"383.0267"	"383.02685+"	"120"	"1.05e+06"	C+	"13119.610"	"39220.035"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[11/2]*"	"9/2"		"T6708"	"L2006"	
"383.0394"	"383.03906+"	"120"	"1.6e+06"	C	"15587.811"	"41687.404"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"		"T6708"	"L2006"	
"384.0869"	"384.0872+"	"2900"	"4.04e+07"	B+	"15271.002"	"41299.37"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"15/2"	""	"*"	"17/2"		"T6708"	"L2006,L3475"	
"384.7836"	"384.78304+"	"79"	"1.67e+06"	C+	"15587.811"	"41569.114"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"		"T6708"	"L2006"	
"386.3081"	"386.3080+"	"120"	"3.3e+06"	D+	"18693.074"	"44571.82"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.5d.6s.6p"	"*"	"17/2"		"T6708"	"L2006"	
"388.1249"	"388.12491+"	"170"	"1.97e+06"	B	"13119.610"	"38877.211"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"		"T6708"	"L2006"	
"388.3132"	"388.31312+"	"68000"	"1.06e+08"	B+	"0.000"	"25745.117"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.6p.(1P*<1>)"	""	"5/2"		"T6708"	"L2006,L3475"	
"388.7348"	"388.73471+"	"54000"	"3.72e+07"	B+	"0.000"	"25717.197"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(3H<5>).5d<5/2>.6s2"	"(5,5/2)"	"7/2"		"T6708"	"L2006,L3475"	
"389.6617"	"389.66168+"	"4400"	"2.95e+06"	B+	"0.000"	"25656.019"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<0>)"	"(5/2,0)"	"5/2"		"T6708"	"L2006,L3475"	
"391.6477"	"391.6476+"	"35000"	"1.98e+08"	B+	"8771.243"	"34297.17"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	"(5/2,1)"	"7/2"		"T6708"	"L2006,L3475"	
"391.7144"	"391.71475+"	"130"	"5.8e+06"	B	"15587.811"	"41109.364"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"392.1446"	"392.14468+"	"200"	"3.1e+06"	B	"15587.811"	"41081.384"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"		"T6708"	"L2006"	
"393.7282"	"393.72847+"	"330"	"9.0e+06"	B+	"16742.237"	"42133.263"	"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	"4f12.5d.6s.6p"	"*"	"7/2"		"T6708"	"L2006"	
"393.9089"	"393.90875+"	"240"	"1.48e+06"	B	"13119.610"	"38499.016"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"394.9270"	"394.9272+"	"15000"	"1.37e+08"	B+	"8771.243"	"34085.20"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	"(5/2,1)"	"5/2"		"T6708"	"L2006,L3475"	
"395.6492"	"395.64914+"	"62"	"7.7e+05"	B	"15587.811"	"40855.580"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"397.6679"	"397.66787+"	"950"	"1.12e+07"	B+	"16742.237"	"41881.739"	"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006,L3475"	
"401.0124"	"401.01220+"	"85"	"7.2e+05"	C+	"15587.811"	"40517.661"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"402.2595"	"402.2597+"	"250"	"4.5e+05"	C+	"8771.243"	"33623.78"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f12.(3F<2>).5d<5/2>.6s2"	""	"7/2"		"T6708"	"L2006,L3475"	
"402.4230"	"402.4229+"	"2200"	"1.78e+07"	B+	"16456.913"	"41299.37"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"17/2"	""	"*"	"17/2"		"T6708"	"L2006,L3475"	
"402.5615"	"402.56146+"	"570"	"1.25e+07"	B+	"16742.237"	"41576.146"	"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"402.6370"	"402.63712+"	"230"	"6.4e+06"	C+	"16957.006"	"41786.249"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"403.3894"	"403.3890+"	"56"	"1.5e+06"	C+	"16742.237"	"41525.20"	"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	"4f12.5d.6s.6p"	"*"	"7/2"		"T6708"	"L2006"	
"404.1762"	"404.17573+"	"81"	"7.3e+05"	C+	"15587.811"	"40322.536"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
"404.4474"	"404.4473+"	"3800"	"2.63e+07"	B+	"8771.243"	"33489.36"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f12.(3F<2>).5d<5/2>.6s2"	"(5/2,2)"	"3/2"		"T6708"	"L2006,L3475"	
"405.5809"	"405.58056+"	"800"	"7.5e+06"	B+	"13119.610"	"37768.662"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006,L3475"	
"406.0478"	"406.04781+"	"79"	"5.2e+05"	C+	"15587.811"	"40208.499"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.(3F<3>).6s2.6p<3/2>"	"(3,3/2)*"	"9/2"		"T6708"	"L2006"	
"406.0737"	"406.07335+"	"82"	"1.6e+06"	C	"16957.006"	"41576.146"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"		"T6708"	"L2006"	
