obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"380.892"	""	"380"	""		""	""		""	"L3475"	
"381.199"	""	"1900"	""		""	""		""	"L3475"	
"383.963"	""	"1200"	""		""	""		""	"L3475"	
"385.422"	""	"620"	""		""	""		""	"L3475"	
"387.103"	""	"1500"	""		""	""		""	"L3475"	
"389.412"	""	"490"	""		""	""		""	"L3475"	
"390.645"	""	"380"	""		""	""		""	"L3475"	
"392.621"	""	"330"	""		""	""		""	"L3475"	
"392.672"	""	"330"	""		""	""		""	"L3475"	
"394.382"	""	"1200"	""		""	""		""	"L3475"	
"394.844"	""	"300"	""		""	""		""	"L3475"	
"396.421"	""	"350"	""		""	""		""	"L3475"	
"400.521"	""	"430"	""		""	""		""	"L3475"	
"404.275"	""	"1000"	""		""	""		""	"L3475"	
"404.761"	""	"410"	""		""	""		""	"L3475"	
"415.397"	""	"880"	""		""	""		""	"L3475"	
"415.665"	""	"380"	""		""	""		""	"L3475"	
"422.237"	""	"350"	""		""	""		""	"L3475"	
"435.574"	""	"430w"	""		""	""		""	"L3475"	
"436.205"	""	"430"	""		""	""		""	"L3475"	
"439.359"	""	"330"	""		""	""		""	"L3475"	
"462.021"	""	"300"	""		""	""		""	"L3475"	
"463.162"	""	"210"	""		""	""		""	"L3475"	
"475.681"	""	"150"	""		""	""		""	"L3475"	
"502.738"	""	"170"	""		""	""		""	"L3475"	
"516.414"	""	"55"	""		""	""		""	"L3475"	
"528.038"	""	"70"	""		""	""		""	"L3475"	
"556.417"	""	"70"	""		""	""		""	"L3475"	
"562.078"	""	"55"	""		""	""		""	"L3475"	
"578.059"	""	"70"	""		""	""		""	"L3475"	
"583.602"	""	"45"	""		""	""		""	"L3475"	
"591.539"	""	"230"	""		""	""		""	"L3475"	
"597.150"	""	"55"	""		""	""		""	"L3475"	
"597.632"	""	"100"	""		""	""		""	"L3475"	
"599.731"	""	"45"	""		""	""		""	"L3475"	
"607.729"	""	"90"	""		""	""		""	"L3475"	
"617.186"	""	"40"	""		""	""		""	"L3475"	
"617.539"	""	"35"	""		""	""		""	"L3475"	
"635.929"	""	"28"	""		""	""		""	"L3475"	
"637.246"	""	"55"	""		""	""		""	"L3475"	
"639.277"	""	"28"	""		""	""		""	"L3475"	
"639.542"	""	"90"	""		""	""		""	"L3475"	
"644.916"	""	"110"	""		""	""		""	"L3475"	
"646.498"	""	"35"	""		""	""		""	"L3475"	
"682.692"	""	"90"	""		""	""		""	"L3475"	
"707.479"	""	"23"	""		""	""		""	"L3475"	
"710.161"	""	"27"	""		""	""		""	"L3475"	
"712.890"	""	"30"	""		""	""		""	"L3475"	
"714.789"	""	"16"	""		""	""		""	"L3475"	
"725.445"	""	"16"	""		""	""		""	"L3475"	
"742.550"	""	"23"	""		""	""		""	"L3475"	
"753.393"	""	"45"	""		""	""		""	"L3475"	
"761.935"	""	"16"	""		""	""		""	"L3475"	
