obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.116"	"380.11486"	"15000"	""		"137.383"	"26437.754"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(5D).4p"	"y 6D*"	"3/2"		""	"L14162"	
"380.28751"	"380.28758"	"60000"	"1.13e+06"	C+	"10892.520"	"37180.946"	"3d3.4s2"	"a 2G"	"7/2"	"3d3.(2H).4s.4p.(3P*)"	"y 2H*"	"9/2"		"T9399"	"L15916"	
"380.34773"	"380.34774"	"3200000"	"1.21e+07"	B+	"2311.369"	"28595.637"	"3d4.(5D).4s"	"a 6D"	"7/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"7/2"		"T9399"	"L15916"	
"380.37809"	"380.37809"	"290000"	"1.1e+07"	D+	"10892.520"	"37174.691"	"3d3.4s2"	"a 2G"	"7/2"	"3d4.(3H).4p"	"v 2G*"	"7/2"		"T284n"	"L15916"	
"380.38965"	"380.38961"	"99000"	"5.3e+05"	B	"323.432"	"26604.807&dagger;"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(5D).4p"	"y 6D*"	"7/2"		"T9399"	"L15916"	
"380.4577"	"380.45768"	"72000"	""		"15572.035"	"41848.708"	"3d4.(3P2).4s"	"b 4P"	"5/2"	"3d3.(4P).4s.4p.(1P*)"	"v 4P*"	"3/2"		""	"L15916"	
"380.49128"	"380.49127"	"110000"	""		"15264.832"	"41539.185"	"3d3.4s2"	"a 2H"	"11/2"	"3d4.(3G).4p"	"t 2G*"	"9/2"		""	"L15916"	
"380.6460"	"380.64602"	"27000"	"1.48e+07"	C+	"15664.801"	"41928.473"	"3d4.(3F2).4s"	"b 4F"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"r 4D*"	"1/2"		"T9399"	"L15916"	
"380.67959"	"380.67960"	"790000"	"1.83e+07"	B+	"11100.596"	"37361.951"	"3d3.4s2"	"a 2G"	"9/2"	"3d4.(3H).4p"	"v 2G*"	"9/2"		"T9399"	"L15916"	
"380.75041"	"380.75041"	"1700000"	"1.11e+07"	B+	"2112.282"	"28368.753"	"3d4.(5D).4s"	"a 6D"	"1/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"3/2"		"T9399"	"L15916"	
"380.811"	"380.81622"	"95000"	""		"18302.280"	"44554.214"	"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	"3d3.4s.(5F).4d"	"4G"	"9/2"		""	"L14162"	
"380.85188"	"380.85188"	"3100000"	"1.43e+07"	B+	"0.000"	"26249.476"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(5D).4p"	"y 4D*"	"3/2"		"T9399"	"L15916"	
"380.908"	"380.90470"	"32000"	""		"18513.403"	"44759.239"	"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	"3d3.(4F).4s.(3F).5s"	"4F"	"7/2"		""	"L14162"	
"380.96007"	"380.96008"	"1300000"	"5.0e+06"	B+	"2220.156"	"28462.177"	"3d4.(5D).4s"	"a 6D"	"5/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"5/2"		"T9399"	"L15916"	
"381.0383"	"381.03854"	"9800"	""		"15264.832"	"41501.449"	"3d3.4s2"	"a 2H"	"11/2"	"3d4.(3G).4p"	"v 2H*"	"9/2"		""	"L15916"	
"381.33462"	"381.33460"	"93000"	""		"19145.148"	"45361.396"	"3d4.(3H).4s"	"b 2H"	"11/2"	"45361o"	"r 2G*"	"9/2"		""	"L15916"	
"381.34904"	"381.349106"	"6000000"	"1.32e+07"	B+	"137.383"	"26352.634"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(5D).4p"	"y 4D*"	"5/2"		"T9399"	"L15916"	
"381.55152"	"381.55152"	"530000"	"6.2e+06"	B+	"2112.282"	"28313.626"	"3d4.(5D).4s"	"a 6D"	"1/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"1/2"		"T9399"	"L15916"	
"381.78437"	"381.78432"	"300000"	"1.15e+06"	B+	"552.955"	"26738.323"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(5D).4p"	"y 6D*"	"9/2"		"T9399"	"L15916"	
"381.79756"	"381.79754"	"370000"	"8.0e+06"	B+	"11100.596"	"37285.057"	"3d3.4s2"	"a 2G"	"9/2"	"3d4.(3H).4p"	"z 4I*"	"9/2"		"T9399"	"L15916"	
"381.82413"	"381.82414"	"7800000"	"6.7e+07"	B+	"0.000"	"26182.637"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(5D).4p"	"y 4D*"	"1/2"		"T9399"	"L15916"	
"381.8767"	"381.87673"	"48000"	""		"14514.756"	"40693.787"	"3d3.4s2"	"2D2"	"3/2"	"3d3.(2P).4s.4p.(3P*)"	"w 2P*"	"3/2"		""	"L15916"	
"381.99642"	"381.99643"	"1300000"	"5.9e+06"	B+	"2424.809"	"28595.637"	"3d4.(5D).4s"	"a 6D"	"9/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"7/2"		"T9399"	"L15916"	
"382.02918"	"382.029161"	"290000"	"5.6e+06"	C+	"8578.542"	"34747.128"	"3d4.(5D).4s"	"a 4D"	"5/2"	"3d3.(4F).4s.4p.(1P*)"	"v 4D*"	"7/2"		"T9399"	"L15916"	
"382.14864"	"382.14863"	"1300000"	"2.19e+07"	B+	"2153.221"	"28313.626"	"3d4.(5D).4s"	"a 6D"	"3/2"	"3d3.(4P).4s.4p.(3P*)"	"x 6D*"	"1/2"		"T9399"	"L15916"	
"382.20049"	"382.200515"	"3400000"	"7.9e+06"	B+	"323.432"	"26480.286&dagger;"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(5D).4p"	"y 4D*"	"7/2"		"T9399"	"L15916"	
