obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.1026"	"380.1035"	"1"	""		"25983.60"	"52284.76"	"5d4.6s.(6D).6p"	"5F*"	"1"	""	""	"3"		""	"L153"	
"380.1165"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"380.1405"	"380.1406"	"2"	""		"24610.88"	"50909.47"	"5d4.6s2"	"1F"	"3"	""	"*"	"4"		""	"L153"	
"380.1512"	"380.1507"	"30*"	""		"27488.11"	"53786.00"	"5d5.(6S).6p"	"7P*"	"3"	""	""	"4"		""	"L153"	
"380.1512"	"380.1513"	"30*"	""		"13348.56"	"39646.41"	"5d4.6s2"	"3G"	"3"	""	"*"	"3"		""	"L153"	
"380.1512"	"380.1526"	"30*"	""		"19253.56"	"45551.32"	"5d4.6s2"	"3P2"	"2"	""	"*"	"3"		""	"L153"	
"380.1909"	"380.1903"	"40*"	""		"22852.80"	"49147.95"	"5d4.6s2"	"1G2"	"4"	""	"*"	"4"		""	"L153"	
"380.1909"	"380.1913"	"40*"	""		"19256.24"	"45551.32"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"3"		""	"L153"	
"380.2053"	""	"3?"	""		""	""	""	""	""	""	""	""		""	"L153"	
"380.2922"	"380.2932"	"12"	""		"18974.51"	"45262.55"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"4"		""	"L153"	
"380.3409"	"380.3419"	"5"	""		"18082.83"	"44367.50"	"5d4.6s2"	"3D"	"1"	""	"*"	"2"		""	"L153"	
"380.3480"	"380.3483"	"3"	""		"17701.18"	"43985.41"	"5d4.6s2"	"3F2"	"3"	""	"*"	"4"		""	"L153"	
"380.3620"	"380.3626"	"2"	""		"24610.88"	"50894.12"	"5d4.6s2"	"1F"	"3"	""	"*"	"3"		""	"L153"	
"380.4072"	"380.4072"	"15"	""		"19826.04"	"46106.20"	"5d4.6s2"	"3G"	"5"	""	"*"	"6"		""	"L153"	
"380.4244"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L153"	
"380.4942"	"380.4946"	"10*"	""		"15460.01"	"41734.13"	"5d4.6s2"	"3D"	"3"	""	"*"	"2"		""	"L153"	
"380.4942"	"380.4958"	"10*"	""		"17701.18"	"43975.22"	"5d4.6s2"	"3F2"	"3"	""	"*"	"2"		""	"L153"	
"380.5446"	"380.5452"	"8"	""		"18082.83"	"44353.46"	"5d4.6s2"	"3D"	"1"	""	"*"	"1"		""	"L153"	
"380.6308"	"380.6333"	"2"	""		"28291.88"	"54556.43"	"5d5.(2F1).6s"	"3F"	"3"	""	"*"	"3"		""	"L153"	
"380.7622"	"380.7628"	"6"	""		"23930.08"	"50185.70"	"5d5.(4D).6s"	"5D"	"3"	""	"*"	"3"		""	"L153"	
"380.7840"	"380.7844"	"5"	""		"19535.01"	"45789.14"	"5d5.(4G).6s"	"5G"	"5"	""	"*"	"5"		""	"L153"	
"380.890"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"380.9220"	"380.9234"	"150"	"9.0e+05"	B	"2951.29"	"29195.84"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5D*"	"2"		"T4976"	"L153"	
"380.9848"	"380.9845"	"15"	""		"19827.68"	"46068.02"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"3"		""	"L153"	
"381.0380"	"381.0385"	"100"	""		"18116.84"	"44353.46"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"1"		""	"L153"	
"381.0790"	"381.0796"	"120"	"6.6e+06"	B	"13777.71"	"40011.50"	"5d4.6s2"	"3F2"	"2"	""	"*"	"2"		"T6977"	"L153"	
"381.2646"	"381.2643"	"10"	""		"22852.80"	"49073.88"	"5d4.6s2"	"1G2"	"4"	""	"*"	"5"		""	"L153"	
"381.2896"	"381.2896"	"4"	""		"22852.80"	"49072.14"	"5d4.6s2"	"1G2"	"4"	""	"*"	"3"		""	"L153"	
"381.4418"	"381.4425"	"5"	""		"28347.60"	"54556.43"	"5d5.(4F).6s"	"5F"	"3"	""	"*"	"3"		""	"L153"	
"381.5026"	"381.5015"	"3"	""		"27670.48"	"53875.26"	"5d5.(4F).6s"	"5F"	"1"	""	"*"	"1"		""	"L153"	
"381.5768"	"381.5769"	"15"	""		"25983.60"	"52183.20"	"5d4.6s.(6D).6p"	"5F*"	"1"	""	""	"2"		""	"L153"	
"381.6386"	"381.6380"	"40"	""		"19256.24"	"45451.65"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"5"		""	"L153"	
"381.7294"	"381.7290"	"12?*"	""		"29430.50"	"55619.66"	""	""	"3"	""	"*"	"2"		""	"L153c23"	
"381.7294"	"381.7311"	"12?*"	""		"26189.20"	"52378.22"	"5d4.6s.(6D).6p"	"7D*"	"3"	""	""	"4"		""	"L153"	
"381.7480"	"381.7484"	"400"	"3.1e+06"	B	"2951.29"	"29139.12"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5F*"	"3"		"T4976"	"L153"	
"381.7760"	"381.7771"	"2?"	""		"20427.84"	"46613.70"	"5d5.(4P).6s"	"5P"	"1"	""	"*"	"0"		""	"L153"	
"381.7960"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L153"	
"381.8344"	""	"2w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"381.8576"	"381.8573"	"4w"	""		"26861.64"	"53042.00"	"5d5.(2F1).6s"	"3F"	"2"	""	"*"	"1"		""	"L153"	
"381.9040"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"381.9402"	""	"2w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"382.0110"	"382.0103"	"50"	"2.72e+06"	B	"16431.31"	"42601.19"	"5d4.6s2"	"3G"	"4"	""	"*"	"3"		"T6977"	"L153"	
"382.3062"	"382.3057"	"3"	""		"17701.18"	"43850.84"	"5d4.6s2"	"3F2"	"3"	""	"*"	"3"		""	"L153"	
"382.4146"	"382.4139"	"25"	""		"18974.51"	"45116.77"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"4"		""	"L153"	
"382.4388"	"382.4382"	"60"	""		"19648.54"	"45789.14"	"5d5.(4G).6s"	"5G"	"6"	""	"*"	"5"		""	"L153"	
"382.6193"	"382.6176"	"50*"	""		"14976.18"	"41104.52"	"5d4.6s2"	"3D"	"2"	""	"*"	"2"		""	"L153"	
"382.6193"	"382.6195"	"50*"	""		"15069.93"	"41198.14"	"5d4.6s2"	"3H"	"5"	""	"*"	"4"		""	"L153"	
"382.6667"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L153"	
"382.6934"	"382.6931"	"8"	""		"15460.01"	"41583.20"	"5d4.6s2"	"3D"	"3"	""	"*"	"2"		""	"L153"	
"382.7344"	"382.7333"	"10"	""		"19253.56"	"45374.00"	"5d4.6s2"	"3P2"	"2"	""	"*"	"1"		""	"L153"	
"382.769"	""	"1w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"382.7788"	"382.7775"	"2"	""		"20174.20"	"46291.63"	"5d4.6s2"	"1S2"	"0"	""	"*"	"1"		""	"L153"	
"382.881"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L153"	
"382.9128"	"382.9126"	"50"	"3.83e+05"	C	"1670.29"	"27778.50"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5D*"	"1"		"T4976"	"L153"	
"382.9690"	"382.9676"	"2"	""		"24789.66"	"50894.12"	"5d4.6s2"	"1D2"	"2"	""	"*"	"3"		""	"L153"	
"383.0130"	"383.0109"	"12w*"	""		"15069.93"	"41171.44"	"5d4.6s2"	"3H"	"5"	""	"*"	"6"		""	"L153"	
"383.0130"	"383.0139"	"12w*"	""		"16431.31"	"42532.62"	"5d4.6s2"	"3G"	"4"	""	"*"	"4"		""	"L153"	
"383.0714"	"383.0707"	"20"	""		"12161.96"	"38259.40"	"5d4.6s2"	"3H"	"4"	""	"*"	"4"		""	"L153"	
"383.099"	"383.0983"	"8w"	""		"26189.20"	"52284.76"	"5d4.6s.(6D).6p"	"7D*"	"3"	""	""	"3"		""	"L153"	
"383.2247"	"383.2237"	"8"	""		"18280.48"	"44367.50"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"2"		""	"L153"	
"383.2628"	"383.2619"	"4"	""		"27889.68"	"53974.10"	"5d5.(6S).6p"	"7P*"	"4"	""	""	"5"		""	"L153"	
"383.271"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"383.2862"	"383.2852"	"15*"	""		"16431.31"	"42514.14"	"5d4.6s2"	"3G"	"4"	""	"*"	"3"		""	"L153"	
"383.2862"	"383.2869"	"15*"	""		"31389.08"	"57471.80"	"5d5.(4G).6s"	"3G"	"5"	""	"*"	"4"		""	"L153"	
"383.2999"	"383.2998"	"3"	""		"26861.64"	"52943.48"	"5d5.(2F1).6s"	"3F"	"2"	""	"*"	"3"		""	"L153"	
"383.4040"	"383.4033"	"15"	"3.8e+06"	C	"19827.68"	"45902.48"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"2"		"T6977"	"L153"	
"383.4312"	"383.4300"	"1"	""		"18280.48"	"44353.46"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"1"		""	"L153"	
"383.4612"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L153"	
"383.4735"	"383.4730"	"4"	""		"32135.94"	"58206.00"	"5d5.(4G).6s"	"3G"	"4"	""	"*"	"3"		""	"L153"	
"383.5058"	"383.5052"	"250"	"5.2e+06"	B	"3325.53"	"29393.40"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5P*"	"2"		"T4976"	"L153"	
"383.531"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"383.5523"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"383.5890"	"383.5881"	"8"	""		"23455.02"	"49517.26"	"5d5.(4D).6s"	"5D"	"1"	""	"*"	"2"		""	"L153"	
"383.6952"	"383.6948"	"15"	""		"26229.77"	"52284.76"	"5d5.(6S).6p"	"7P*"	"2"	""	""	"3"		""	"L153"	
"383.8511"	"383.8492"	"80*"	""		"18974.51"	"45019.02"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"2"		""	"L153"	
"383.8511"	"383.8505"	"80*"	""		"12161.96"	"38206.38"	"5d4.6s2"	"3H"	"4"	""	"*"	"3"		""	"L153"	
"383.896"	"383.8947"	"4"	""		"19827.68"	"45869.10"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"4"		""	"L153"	
"383.925"	"383.9242"	"15"	""		"15460.01"	"41499.43"	"5d4.6s2"	"3D"	"3"	""	"*"	"3"		""	"L153"	
"383.9866"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.1050"	"384.1042"	"3"	""		"27889.68"	"53916.90"	"5d5.(6S).6p"	"7P*"	"4"	""	""	"3"		""	"L153"	
"384.1274"	"384.1281"	"4"	""		"17008.50"	"43034.10"	"5d4.6s2"	"3H"	"6"	""	"*"	"5"		""	"L153"	
"384.131"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.1974"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.2164"	"384.2154"	"4"	""		"17701.18"	"43720.87"	"5d4.6s2"	"3F2"	"3"	""	"*"	"4"		""	"L153"	
"384.2310"	"384.2301"	"50"	""		"6219.33"	"32238.02"	"5d4.6s2"	"5D"	"4"	""	"*"	"3"		""	"L153"	
"384.3162"	"384.3153"	"4*"	""		"27849.80"	"53862.72"	"5d5.(2I).6s"	"3I"	"5"	""	"*"	"5"		""	"L153"	
"384.3162"	"384.3156"	"4*"	""		"29479.32"	"55492.22"	"5d4.6s2"	"3F1"	"4"	""	"*"	"5"		""	"L153"	
"384.3476"	"384.3470"	"3w"	""		"24789.66"	"50800.44"	"5d4.6s2"	"1D2"	"2"	""	"*"	"3"		""	"L153"	
"384.5784"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.6218"	"384.6213"	"300"	"2.14e+06"	B	"1670.29"	"27662.52"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5F*"	"2"		"T4976"	"L153"	
"384.7020"	""	"4w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.7244"	""	"4"	""		""	""	""	""	""	""	""	""		""	"L153"	
"384.7498"	"384.7490"	"150"	"8.3e+05"	B	"0.00"	"25983.60"	"5d4.6s2"	"5D"	"0"	"5d4.6s.(6D).6p"	"5F*"	"1"		"T4976"	"L153"	
"384.7958"	"384.7960"	"1"	""		"27213.82"	"53194.25"	"5d5.(2F1).6s"	"3F"	"4"	""	"*"	"5"		""	"L153"	
"384.8620"	"384.8611"	"2w"	""		"29479.32"	"55455.35"	"5d4.6s2"	"3F1"	"4"	""	"*"	"5"		""	"L153"	
"384.9222"	"384.9234"	"2"	""		"33291.80"	"59263.63"	"5d5.(2I).6s"	"1I"	"6"	""	"*"	"5"		""	"L153"	
"385.0090"	"385.0089"	"3c"	""		"18974.51"	"44940.57"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"4"		""	"L153"	
"385.1954"	"385.1963"	"2"	""		"26229.77"	"52183.20"	"5d5.(6S).6p"	"7P*"	"2"	""	""	"2"		""	"L153"	
"385.201"	"385.1991"	"3"	""		"25983.60"	"51936.84"	"5d4.6s.(6D).6p"	"5F*"	"1"	""	""	"2"		""	"L153"	
"385.2835"	"385.2821"	"12"	""		"14976.18"	"40923.83"	"5d4.6s2"	"3D"	"2"	""	"*"	"3"		""	"L153"	
"385.323"	"385.3226"	"3"	""		"26861.64"	"52806.56"	"5d5.(2F1).6s"	"3F"	"2"	""	"*"	"3"		""	"L153"	
"385.3778"	""	"8"	""		""	""	""	""	""	""	""	""		""	"L153"	
"385.4515"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"385.5554"	"385.5546"	"50"	""		"13777.71"	"39707.02"	"5d4.6s2"	"3F2"	"2"	""	"*"	"2"		""	"L153"	
"385.5880"	"385.5869"	"3*"	""		"34302.04"	"60229.18"	"5d5.(2G2).6s"	"3G"	"4"	""	"*"	"5"		""	"L153"	
"385.5880"	"385.5876"	"3*"	""		"17107.01"	"43034.10"	"5d4.6s2"	"3F2"	"4"	""	"*"	"5"		""	"L153"	
"385.6023"	"385.6013"	"3"	""		"31389.08"	"57315.25"	"5d5.(4G).6s"	"3G"	"5"	""	"*"	"4"		""	"L153"	
"385.730"	"385.7288"	"10*"	""		"28392.70"	"54310.30"	"5d5.(2I).6s"	"3I"	"6"	""	"*"	"5"		""	"L153"	
"385.730"	"385.7306"	"10*"	""		"26367.28"	"52284.76"	""	"*"	"2"	""	""	"3"		""	"L153"	
"385.8847"	""	"5"	""		""	""	""	""	""	""	""	""		""	"L153"	
"385.9303"	"385.9290"	"60"	"1.27e+07"	B	"18116.84"	"44021.00"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"3"		"T6977"	"L153"	
"385.9929"	"385.9923"	"20"	""		"20427.84"	"46327.75"	"5d5.(4P).6s"	"5P"	"1"	""	"*"	"2"		""	"L153"	
"386.1066"	"386.1044"	"30*"	""		"18082.83"	"43975.22"	"5d4.6s2"	"3D"	"1"	""	"*"	"2"		""	"L153"	
"386.1066"	"386.1069"	"30*"	""		"14976.18"	"40868.40"	"5d4.6s2"	"3D"	"2"	""	"*"	"2"		""	"L153"	
"386.1245"	"386.1238"	"25"	""		"12161.96"	"38053.05"	"5d4.6s2"	"3H"	"4"	""	"*"	"3"		""	"L153"	
"386.2672"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.3480"	"386.3475"	"15"	""		"13307.10"	"39183.20"	"5d4.6s2"	"3P2"	"1"	""	"*"	"1"		""	"L153"	
"386.4343"	"386.4339"	"60"	"5.6e+05"	B	"3325.53"	"29195.84"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5D*"	"2"		"T4976"	"L153"	
"386.4592"	"386.4580"	"5"	""		"13777.71"	"39646.41"	"5d4.6s2"	"3F2"	"2"	""	"*"	"3"		""	"L153"	
"386.5326"	"386.5314"	"8"	""		"20427.84"	"46291.63"	"5d5.(4P).6s"	"5P"	"1"	""	"*"	"1"		""	"L153"	
"386.6055"	"386.6043"	"25"	"3.5e+06"	B	"13777.71"	"39636.62"	"5d4.6s2"	"3F2"	"2"	""	"*"	"1"		"T6977"	"L153"	
"386.6257"	"386.6254"	"4"	""		"17008.50"	"42866.00"	"5d4.6s2"	"3H"	"6"	""	"*"	"5"		""	"L153"	
"386.6849"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.7158"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.7373"	"386.7374"	"1"	""		"19827.68"	"45677.69"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"3"		""	"L153"	
"386.7422"	"386.7416"	"3"	""		"22476.68"	"48326.41"	"5d5.(4D).6s"	"5D"	"4"	""	"*"	"3"		""	"L153"	
"386.7544"	""	"4"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.7666"	""	"5"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.7986"	"386.7982"	"600"	"4.6e+06"	B	"2951.29"	"28797.24"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"7D*"	"4"		"T4976"	"L153"	
"386.8460"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.8578"	"386.8565"	"12"	""		"15069.93"	"40911.98"	"5d4.6s2"	"3H"	"5"	""	"*"	"5"		""	"L153"	
"386.8857"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"386.9007"	"386.8998"	"2"	""		"12161.96"	"38001.12"	"5d4.6s2"	"3H"	"4"	""	"*"	"4"		""	"L153"	
"386.9312"	"386.9322"	"3"	""		"33291.80"	"59128.80"	"5d5.(2I).6s"	"1I"	"6"	""	"*"	"6"		""	"L153"	
"386.9928"	""	"2w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"387.0684"	"387.0665"	"3"	""		"26229.77"	"52057.80"	"5d5.(6S).6p"	"7P*"	"2"	""	""	"1"		""	"L153"	
"387.0818"	"387.0835"	"6"	""		"28291.88"	"54118.78"	"5d5.(2F1).6s"	"3F"	"3"	""	"*"	"4"		""	"L153"	
"387.1370"	"387.1355"	"3*"	""		"20983.02"	"46806.45"	"5d5.(4P).6s"	"5P"	"2"	""	"*"	"2"		""	"L153"	
"387.1370"	"387.1377"	"3*"	""		"22852.80"	"48676.08"	"5d4.6s2"	"1G2"	"4"	""	"*"	"4"		""	"L153"	
"387.1694"	""	"4"	""		""	""	""	""	""	""	""	""		""	"L153"	
"387.1845"	"387.1839"	"3"	""		"16431.31"	"42251.51"	"5d4.6s2"	"3G"	"4"	""	"*"	"3"		""	"L153"	
"387.2487"	"387.2481"	"12"	""		"26367.28"	"52183.20"	""	"*"	"2"	""	""	"2"		""	"L153"	
"387.2840"	"387.2831"	"100*"	""		"3325.53"	"29139.12"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5F*"	"3"		""	"L153"	
"387.2840"	"387.2844"	"100*"	""		"17701.18"	"43514.68"	"5d4.6s2"	"3F2"	"3"	""	"*"	"2"		""	"L153"	
"387.3410"	"387.3401"	"2"	""		"18082.83"	"43892.62"	"5d4.6s2"	"3D"	"1"	""	"*"	"1"		""	"L153"	
"387.4412"	"387.4404"	"50"	""		"19648.54"	"45451.65"	"5d5.(4G).6s"	"5G"	"6"	""	"*"	"5"		""	"L153"	
"387.5684"	"387.5682"	"40"	"9.3e+06"	C	"14976.18"	"40770.78"	"5d4.6s2"	"3D"	"2"	""	"*"	"1"		"T6977"	"L153"	
"387.742"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L153"	
"387.7516"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L153"	
"387.7838"	""	"2w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"387.8279"	"387.8268"	"1w"	""		"17701.18"	"43478.58"	"5d4.6s2"	"3F2"	"3"	""	"*"	"3"		""	"L153"	
"387.8524"	"387.8512"	"6"	""		"18116.84"	"43892.62"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"1"		""	"L153"	
"387.9002"	"387.9008"	"6"	""		"26229.77"	"52002.25"	"5d5.(6S).6p"	"7P*"	"2"	""	""	"3"		""	"L153"	
"387.920"	"387.9204"	"5"	""		"28347.60"	"54118.78"	"5d5.(4F).6s"	"5F"	"3"	""	"*"	"4"		""	"L153"	
"387.943"	"387.9418"	"1"	""		"28347.60"	"54117.36"	"5d5.(4F).6s"	"5F"	"3"	""	"*"	"3"		""	"L153"	
"387.9482"	"387.9460"	"3"	""		"23930.08"	"49699.56"	"5d5.(4D).6s"	"5D"	"3"	""	"*"	"2"		""	"L153"	
"388.0082"	"388.0065"	"12"	""		"19253.56"	"45019.02"	"5d4.6s2"	"3P2"	"2"	""	"*"	"2"		""	"L153"	
"388.057"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.077"	"388.0740"	"8w"	""		"19253.56"	"45014.54"	"5d4.6s2"	"3P2"	"2"	""	"*"	"3"		""	"L153"	
"388.090"	"388.0903"	"3"	""		"31389.08"	"57148.98"	"5d5.(4G).6s"	"3G"	"5"	""	"*"	"6"		""	"L153"	
"388.0951"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.1052"	"388.1040"	"5"	""		"17107.01"	"42866.00"	"5d4.6s2"	"3F2"	"4"	""	"*"	"5"		""	"L153"	
"388.115"	"388.1144"	"5?"	""		"19256.24"	"45014.54"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"3"		""	"L153"	
"388.1405"	"388.1394"	"250"	"3.6e+06"	B	"4830.00"	"30586.64"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"5P*"	"3"		"T4976"	"L153"	
"388.1877"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.2170"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.2274"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.2530"	""	"3w"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.3336"	"388.3316"	"2"	""		"24789.66"	"50533.55"	"5d4.6s2"	"1D2"	"2"	""	"*"	"1"		""	"L153"	
"388.3832"	"388.3825"	"20"	"4.6e+06"	B	"18280.48"	"44021.00"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"3"		"T6977"	"L153"	
"388.4197"	"388.4185"	"4"	""		"15460.01"	"41198.14"	"5d4.6s2"	"3D"	"3"	""	"*"	"4"		""	"L153"	
"388.5123"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L153"	
"388.5456"	"388.5464"	"1"	""		"27213.82"	"52943.48"	"5d5.(2F1).6s"	"3F"	"4"	""	"*"	"3"		""	"L153"	
"388.5784"	"388.5784"	"2"	""		"19535.01"	"45262.55"	"5d5.(4G).6s"	"5G"	"5"	""	"*"	"4"		""	"L153"	
"388.6452"	"388.6447"	"20"	""		"13307.10"	"39030.25"	"5d4.6s2"	"3P2"	"1"	""	"*"	"2"		""	"L153"	
"388.7405"	"388.7413"	"10w"	""		"23982.80"	"49699.56"	"5d5.(4D).6s"	"5D"	"2"	""	"*"	"2"		""	"L153"	
"388.8886"	"388.8878"	"5"	""		"26229.77"	"51936.84"	"5d5.(6S).6p"	"7P*"	"2"	""	""	"2"		""	"L153c23"	
"388.8976"	"388.8974"	"4"	""		"23930.08"	"49636.52"	"5d5.(4D).6s"	"5D"	"3"	""	"*"	"4"		""	"L153"	
"388.9207"	"388.9210"	"1"	""		"24789.66"	"50494.54"	"5d4.6s2"	"1D2"	"2"	""	"*"	"2"		""	"L153"	
"388.9470"	"388.9473"	"2"	""		"23484.78"	"49187.92"	"5d4.6s2"	"1I"	"6"	""	"*"	"5"		""	"L153"	
"389.0126"	"389.0131"	"1"	""		"28720.88"	"54419.67"	"5d5.(4P).6s"	"3P"	"1"	""	"*"	"1"		""	"L153"	
"389.0420"	"389.0415"	"8"	""		"23455.02"	"49151.94"	"5d5.(4D).6s"	"5D"	"1"	""	"*"	"2"		""	"L153"	
"389.0746"	"389.0745"	"12"	"7.5e+06"	C	"18280.48"	"43975.22"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"2"		"T6977"	"L153"	
