obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.139"	"380.13904+"	"30"	""		"67067.547"	"93366.245"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L4739"	
"380.190"	"380.19071+"	"3"	""		"67067.547"	"93362.671"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L4739"	
"380.984"	"380.9844+"	"30"	""		"68045.156"	"94285.50"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[1/2]"	"0"		""	"L4739"	
"382.374"	"382.3726+"	"10"	""		"68045.156"	"94190.24"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[3/2]"	"2"		""	"L4739"	
"382.686"	"382.6855+"	"15"	""		"68045.156"	"94168.86"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[3/2]"	"1"		""	"L4739"	
"383.56"	"383.5475+"	"2"	""		"68045.156"	"94110.15"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"2"		""	"L4739"	
"387.720"	"387.712+"	"2*"	""		"80322.746"	"106107.8"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<1/2>).7f"	"2[5/2]"	"3"		""	"L4103"	
"387.720"	"387.712+"	"2*"	""		"80322.746"	"106107.8"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<1/2>).7f"	"2[5/2]"	"2"		""	"L4103"	
"394.229"	"394.22868+"	"2"	""		"68045.156"	"93403.966"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L4739"	
"394.8163"	"394.81598+"	"60"	""		"68045.156"	"93366.245"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L7292"	
"394.872"	"394.87171+"	"10"	""		"68045.156"	"93362.671"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L4739"	
"395.0924"	"395.09237+"	"120"	"5.6e+05"	C+	"67067.547"	"92370.923"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).8p"	"2[3/2]"	"2"		"T3269"	"L7292"	
"395.685"	"395.68437+"	"6"	""		"67067.547"	"92333.066"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).8p"	"2[3/2]"	"1"		""	"L4739"	
"396.75411"	"396.75405+"	"200"	"5.3e+05"	C+	"67067.547"	"92264.950"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).8p"	"2[5/2]"	"3"		"T3269"	"L7292"	
"397.4417"	"397.44158+"	"40"	"1.4e+05"	D+	"67067.547"	"92221.362"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).8p"	"2[5/2]"	"2"		"T3269"	"L7292"	
"398.5202"	"398.52027+"	"30"	""		"67067.547"	"92153.279"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).8p"	"2[1/2]"	"1"		""	"L7292"	
"400.455"	"400.440+"	"10*"	""		"80322.746"	"105288.2"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<1/2>).6f"	"2[5/2]"	"3"		""	"L4103"	
"400.455"	"400.440+"	"10*"	""		"80322.746"	"105288.2"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<1/2>).6f"	"2[5/2]"	"2"		""	"L4103"	
"407.88202"	"407.88193+"	"100"	""		"68045.156"	"92555.135"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).8p"	"2[1/2]"	"0"		""	"L7292"	
"410.97089"	"410.97076+"	"60"	""		"68045.156"	"92370.923"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).8p"	"2[3/2]"	"2"		""	"L7292"	
"411.61147"	"411.61135+"	"80"	""		"68045.156"	"92333.066"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).8p"	"2[3/2]"	"1"		""	"L7292"	
