obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"387.67825"	"387.67813"	"80"	""		"16066.064"	"41853.349"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"	""	"1.4"	"3/2"		""	"L7610,L3475"	
"388.77648"	"388.77649"	"30"	""		"11359.757"	"37074.190"	"5s2.5p"	"z 2P*"	"3/2"	"4d.5s.(1D).6s"	"f 2D"	"5/2"		""	"L7610,L3475"	
"390.45961"	"390.45958"	"60h"	""		"16066.064"	"41669.657"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"	"4d.5s.(1D).5d"	"2D"	"5/2"		""	"L7610,L3475"	
""	"391.81682"	""	"4.4e+06"	B+	"10937.390"	"36452.295"	"4d2.(3F).5s"	"a 4F"	"3/2"	"4d2.(1D).5p"	"w 2D*"	"3/2"		"T9421"	""	
"391.8248"	"391.82483"	"50h"	""		"16146.138"	"41660.521"	"4d.5s.(3D).5p"	"z 2D*"	"3/2"	"4d.5s.(1D).5d"	"2D"	"3/2"		""	"L7610,L3475"	
"393.0098"	"393.00952"	"60h"	""		"16066.064"	"41503.538"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"	"4d.5s.(3D).5d"	"2D"	"5/2"		""	"L7610,L3475"	
"395.50850"	"395.50854"	"60h"	""		"16146.138"	"41422.889"	"4d.5s.(3D).5p"	"z 2D*"	"3/2"	"4d.5s.(3D).5d"	"2D"	"3/2"		""	"L7610,L3475"	
"398.74804"	"398.747956"	"40"	""		"11359.757"	"36431.165"	"5s2.5p"	"z 2P*"	"3/2"	"4d.5s.(3D).6s"	"f 2D"	"5/2"		""	"L7610,L3475"	
""	"398.97799"	""	"7.1e+06"	B	"11078.614"	"36135.567"	"4d2.(3F).5s"	"a 4F"	"5/2"	"4d2.(3P).5p"	"z 4S*"	"3/2"		"T9421"	""	
"403.9826"	"403.982219"	"940"	"1.12e+07"	B+	"0.000"	"24746.573"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(1D).5p"	"y 2D*"	"5/2"		"T4373"	"L7610,L3475"	
"404.76284"	"404.76281"	"2400"	""		"0.000"	"24698.850"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"y 2P*"	"1/2"		""	"L7610,L3475"	
"407.7359"	"407.735998"	"9400"	"1.11e+08"	C+	"0.000"	"24518.751"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(1D).5p"	"y 2F*"	"5/2"		"T4373"	"L7610,L3475"	
"408.11852"	"408.11853"	"90h"	""		"18499.315"	"42995.085"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(1G).5p"	"v 2F*"	"7/2"		""	"L7610,L3475"	
"408.3705"	"408.37033"	"2000"	"2.5e+07"	C+	"0.000"	"24480.666"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"y 2P*"	"3/2"		"T4373"	"L7610,L3475"	
""	"408.62186"	""	"3.8e+06"	C+	"21528.579"	"45994.176"	"4d.5s.(3D).5p"	"z 2F*"	"5/2"	"5p2.(3P).4d?"	"f 2P"	"3/2"		"T9421"	""	
"410.2364"	"410.23691"	"9900"	"1.27e+08"	C+	"530.351"	"24899.632"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(1D).5p"	"y 2F*"	"7/2"		"T4373"	"L7610,L3475"	
"410.63842"	"410.63844"	"60h"	""		"18512.402"	"42857.855"	"4d2.(1G).5s"	"a 2G"	"7/2"	"4d2.(1G).5p"	"v 2F*"	"5/2"		""	"L7610,L3475"	
"411.0805"	"411.08035"	"80"	""		"15245.803"	"39565.085"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"	"4d.5s.(3D).5d"	"e 4F"	"5/2"		""	"L7610,L3475"	
"412.8304"	"412.829876"	"8900"	"1.56e+08"	A	"530.351"	"24746.573"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(1D).5p"	"y 2D*"	"5/2"		"T4373"	"L7611,L3475"	
"414.2841"	"414.28358"	"7500"	"1.59e+08"	B+	"0.000"	"24131.250"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(1D).5p"	"y 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"415.7624"	"415.76239"	"100h"	""		"15712.522"	"39757.942"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d.5s.(3D).5d"	"e 4F"	"7/2"		""	"L7610,L3475"	
"416.75131"	"416.750671"	"2400"	"2.4e+07"	C	"530.351"	"24518.751"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(1D).5p"	"y 2F*"	"5/2"		"T4373"	"L7610,L3475"	
"417.41332"	"417.41339"	"2000"	"3.1e+07"	C+	"530.351"	"24480.666"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"y 2P*"	"3/2"		"T4373"	"L7610,L3475"	
"421.30180"	"421.30168"	"80"	""		"16234.382"	"39963.658"	"4d.5s.(3D).5p"	"z 4F*"	"9/2"	"4d.5s.(3D).5d"	"2F"	"7/2"		""	"L7610,L3475"	
"421.3524"	"421.35222"	"40"	""		"14948.994"	"38675.424"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"	"4d.5s.(3D).5d"	"f 4D"	"5/2"		""	"L7610,L3475"	
"421.7799"	"421.77985"	"160"	""		"10529.169"	"34231.544"	"5s2.5p"	"z 2P*"	"1/2"	"5s2.(2D).5d"	"e 2D"	"3/2"		""	"L7610,L3475"	
"422.06290"	"422.06277"	"280h"	""		"14948.994"	"38635.481"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"	"4d.5s.(3D).5d"	"e 4G"	"5/2"		""	"L7610,L3475"	
"422.42529"	"422.42530"	"80"	""		"16234.382"	"39900.541"	"4d.5s.(3D).5p"	"z 4F*"	"9/2"	"4d.5s.(3D).5d"	"e 4F"	"9/2"		""	"L7610,L3475"	
"423.13017"	"423.13004"	"3"	"1.2e+06"	D+	"10529.169"	"34155.912"	"5s2.5p"	"z 2P*"	"1/2"	"5p2.(3P).5s"	"e 4P"	"3/2"		"T4373"	"L7610"	
"423.25412"	"423.25415"	"14"	"2.0e+06"	D+	"15245.803"	"38865.618"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"	"4d.5s.(3D).5d"	"f 4D"	"7/2"		"T4373"	"L7610"	
"423.5929"	"423.59340"	"2200"	"3.00e+07"	B+	"530.351"	"24131.250"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(1D).5p"	"y 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"425.1201"	"425.11994"	"300"	""		"15245.803"	"38761.956"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"	"4d.5s.(3D).5d"	"e 4G"	"7/2"		""	"L7610,L3475"	
"430.22899"	"430.22900"	"360h"	""		"15712.522"	"38949.421"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d.5s.(3D).5d"	"e 4G"	"9/2"		""	"L7610,L3475"	
"431.63032"	"431.63025"	"50"	""		"11359.757"	"34521.221"	"5s2.5p"	"z 2P*"	"3/2"	"5p2.(3P).5s"	"e 4P"	"5/2"		""	"L7610,L3475"	
"431.78631"	"431.78625"	"8"	"1.5e+06"	D+	"15712.522"	"38865.618"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d.5s.(3D).5d"	"f 4D"	"7/2"		"T4373"	"L7610"	
"433.07703"	"433.07719"	"110"	""		"10529.169"	"33613.250"	"5s2.5p"	"z 2P*"	"1/2"	"4d3"	"2P"	"1/2"		""	"L7610,L3475"	
"433.7275"	"433.72819"	"30"	""		"15712.522"	"38761.956"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d.5s.(3D).5d"	"e 4G"	"7/2"		""	"L7610,L3475"	
"434.46355"	"434.46368"	"60"	""		"16435.907"	"39446.322"	"4d.5s.(3D).5p"	"z 4D*"	"1/2"	"4d.5s.(3D).5d"	"e 4F"	"3/2"		""	"L7610,L3475"	
"434.8783"	"434.8783"	"440h"	""		"16234.382"	"39222.861"	"4d.5s.(3D).5p"	"z 4F*"	"9/2"	"4d.5s.(3D).5d"	"e 4G"	"11/2"		""	"L7610,L3475"	
"435.2322"	"435.23193"	"60"	""		"11277.928"	"34247.727"	"4d2.(3F).5s"	"a 4F"	"7/2"	"4d2.(3F).5p"	"x 2D*"	"5/2"		""	"L7610,L3475"	
"435.2404"	"435.24004"	"4"	"6.6e+05"	C+	"10937.390"	"33906.761"	"4d2.(3F).5s"	"a 4F"	"3/2"	"4d2.(3F).5p"	"x 2D*"	"3/2"		"T4373"	"L7610"	
"435.2703"	"435.27017"	"60"	""		"16597.304"	"39565.085"	"4d.5s.(3D).5p"	"z 4D*"	"3/2"	"4d.5s.(3D).5d"	"e 4F"	"5/2"		""	"L7610,L3475"	
"435.7726"	"435.77259"	"120"	""		"16816.641"	"39757.942"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"	"4d.5s.(3D).5d"	"e 4F"	"7/2"		""	"L7610,L3475"	
"436.60235"	"436.60258"	"120"	"1.37e+07"	C+	"11359.757"	"34257.447"	"5s2.5p"	"z 2P*"	"3/2"	"5s2.(2D).5d"	"e 2D"	"5/2"		"T4373"	"L7610,L3475"	
"437.5614"	"437.56166"	"150h"	""		"17116.156"	"39963.658"	"4d.5s.(3D).5p"	"z 4D*"	"7/2"	"4d.5s.(3D).5d"	"2F"	"7/2"		""	"L7610,L3475"	
"437.9327"	"437.93265"	"80"	"7.9e+06"	B+	"11078.614"	"33906.761"	"4d2.(3F).5s"	"a 4F"	"5/2"	"4d2.(3F).5p"	"x 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"438.5474"	"438.54726"	"30"	"6.9e+06"	D+	"11359.757"	"34155.912"	"5s2.5p"	"z 2P*"	"3/2"	"5p2.(3P).5s"	"e 4P"	"3/2"		"T4373"	"L7610,L3475"	
"438.7738"	"438.77381"	"100"	""		"17116.156"	"39900.541"	"4d.5s.(3D).5p"	"z 4D*"	"7/2"	"4d.5s.(3D).5d"	"e 4F"	"9/2"		""	"L7610,L3475"	
"439.4007"	"439.40080"	"30"	"1.95e+06"	B+	"11277.928"	"34029.802"	"4d2.(3F).5s"	"a 4F"	"7/2"	"4d2.(3F).5p"	"x 2F*"	"7/2"		"T4373"	"L7610,L3475"	
"439.4669"	"439.46705"	"30"	""		"16816.641"	"39565.085"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"	"4d.5s.(3D).5d"	"e 4F"	"5/2"		""	"L7610,L3475"	
"440.9700"	"440.96981"	"2"	"2.8e+05"	D+	"10937.390"	"33608.312"	"4d2.(3F).5s"	"a 4F"	"3/2"	"4d2.(3F).5p"	"x 2F*"	"5/2"		"T4373"	"L7610"	
"441.74307"	"441.74311"	"30"	"3.2e+06"	D+	"16234.382"	"38865.618"	"4d.5s.(3D).5p"	"z 4F*"	"9/2"	"4d.5s.(3D).5d"	"f 4D"	"7/2"		"T4373"	"L7610"	
"443.73402"	"443.73401"	"80"	"8.6e+06"	B+	"11078.614"	"33608.312"	"4d2.(3F).5s"	"a 4F"	"5/2"	"4d2.(3F).5p"	"x 2F*"	"5/2"		"T4373"	"L7610,L3475"	
"444.3652"	"444.36502"	"100"	"1.04e+07"	B+	"11532.096"	"34029.802"	"4d2.(3F).5s"	"a 4F"	"9/2"	"4d2.(3F).5p"	"x 2F*"	"7/2"		"T4373"	"L7610,L3475"	
"444.66226"	"444.66240"	"130"	""		"11359.757"	"33842.417"	"5s2.5p"	"z 2P*"	"3/2"	"4d3"	"2P"	"3/2"		""	"L7610,L3475"	
"445.9010"	"445.90084"	"37"	"1.77e+06"	B+	"10937.390"	"33357.608"	"4d2.(3F).5s"	"a 4F"	"3/2"	"4d2.(3F).5p"	"y 4D*"	"5/2"		"T4373"	"L7610"	
"446.5267"	""	"20"	""		""	""	""	""	""	""	""	""		""	"L7593,L3475"	
""	"447.23218"	""	"6.3e+05"	B+	"11078.614"	"33432.092"	"4d2.(3F).5s"	"a 4F"	"5/2"	"4d2.(3F).5p"	"z 2G*"	"7/2"		"T9421"	""	
"447.38756"	"447.38771"	"40"	""		"16066.064"	"38411.771"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"	"4d3"	"2F"	"7/2"		""	"L7610,L3475"	
"447.5721"	"447.57178"	"170"	""		"11277.928"	"33614.445"	"4d2.(3F).5s"	"a 4F"	"7/2"	"4d2.(3F).5p"	"y 4D*"	"7/2"		""	"L7610,L3475"	
"447.6951"	"447.69471"	"180"	"2.72e+07"	B+	"11277.928"	"33608.312"	"4d2.(3F).5s"	"a 4F"	"7/2"	"4d2.(3F).5p"	"x 2F*"	"5/2"		"T4373"	"L7610,L3475"	
"447.74424"	"447.74436"	"160"	"3.21e+07"	B+	"10937.390"	"33265.298"	"4d2.(3F).5s"	"a 4F"	"3/2"	"4d2.(3F).5p"	"y 4D*"	"3/2"		"T9421"	"L7610,L3475"	
