obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"387.9141"	""	""		"46745.4032"	"72517.00"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.7d"	"1D"	"2"		""	""	
"388.334"	""	"21000"	""		""	""	""	""	""	""	""	""		""	"L3284,L3428"	
"396.543"	"396.543"	"78000"	""		"46745.4032"	"71956.23"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.8s"	"1S"	"0"		""	"L3284"	
"411.321"	"411.31114"	"81000"	""		"46745.4032"	"71051.040"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.6d"	"1D"	"2"		""	"L3284"	
"429.28836"	"429.28830"	"32000"	""		"32501.3990"	"55789.216"	"3d10.4s.4p"	"3P*"	"1"	"3d10.4s.5s"	"1S"	"0"		""	"L9761"	
"429.83249"	"429.83250"	"49000"	""		"46745.4032"	"70003.737"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.7s"	"1S"	"0"		""	"L9761"	
"455.327"	"455.326"	""	""		"53672.2398"	"75628.35"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.30p"	"1P*"	"1"		""	"L13951"	
"455.549"	"455.548"	""	""		"53672.2398"	"75617.66"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.29p"	"1P*"	"1"		""	"L13951"	
"455.796"	"455.795"	""	""		"53672.2398"	"75605.76"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.28p"	"1P*"	"1"		""	"L13951"	
"456.074"	"456.073"	""	""		"53672.2398"	"75592.39"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.27p"	"1P*"	"1"		""	"L13951"	
"456.389"	"456.388"	""	""		"53672.2398"	"75577.26"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.26p"	"1P*"	"1"		""	"L13951"	
"456.745"	"456.745"	""	""		"53672.2398"	"75560.15"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.25p"	"1P*"	"1"		""	"L13951"	
"457.155"	"457.155"	""	""		"53672.2398"	"75540.55"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.24p"	"1P*"	"1"		""	"L13951"	
"457.624"	"457.623"	""	""		"53672.2398"	"75518.17"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.23p"	"1P*"	"1"		""	"L13951"	
"458.167"	"458.167"	""	""		"53672.2398"	"75492.25"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.22p"	"1P*"	"1"		""	"L13951"	
"458.795"	"458.796"	""	""		"53672.2398"	"75462.30"	"3d10.4s.5s"	"3S"	"1"	"3d10.4s.21p"	"1P*"	"1"		""	"L13951"	
