obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"382.241"	""	"560"	""		""	""		""	"L3475"	
"383.596"	""	"2200"	""		""	""		""	"L3475"	
"384.701"	""	"550"	""		""	""		""	"L3475"	
"384.925"	""	"550"	""		""	""		""	"L3475"	
"386.387"	""	"2900"	""		""	""		""	"L3475"	
"386.434"	""	"770"	""		""	""		""	"L3475"	
"387.760"	""	"990"	""		""	""		""	"L3475"	
"387.905"	""	"200"	""		""	""		""	"L3475"	
"388.542"	""	"1500"	""		""	""		""	"L3475"	
"389.032"	""	"2900"	""		""	""		""	"L3475"	
"389.138"	""	"2000"	""		""	""		""	"L3475"	
"390.052"	""	"400"	""		""	""		""	"L3475"	
"392.179"	""	"610"	""		""	""		""	"L3475"	
"392.953"	""	"1200"	""		""	""		""	"L3475"	
"396.666"	""	"490"	""		""	""		""	"L3475"	
"396.826"	""	"990"	""		""	""		""	"L3475"	
"397.350"	""	"660"	""		""	""		""	"L3475"	
"397.529"	""	"200"	""		""	""		""	"L3475"	
"398.160"	""	"200w"	""		""	""		""	"L3475"	
"400.760"	""	"200"	""		""	""		""	"L3475"	
"401.225"	""	"200"	""		""	""		""	"L3475"	
"402.398"	""	"400"	""		""	""		""	"L3475"	
"402.492"	""	"770"	""		""	""		""	"L3475"	
"402.720"	""	"990"	""		""	""		""	"L3475"	
"402.895"	""	"240"	""		""	""		""	"L3475"	
"403.004"	""	"490"	""		""	""		""	"L3475"	
"403.589"	""	"400"	""		""	""		""	"L3475"	
"404.222"	""	"240"	""		""	""		""	"L3475"	
"404.358"	""	"610"	""		""	""		""	"L3475"	
"404.456"	""	"490"	""		""	""		""	"L3475"	
"405.048"	""	"200"	""		""	""		""	"L3475"	
"405.503"	""	"770"	""		""	""		""	"L3475"	
"405.571"	""	"600"	""		""	""		""	"L3475"	
"406.153"	""	"330"	""		""	""		""	"L3475"	
"406.416"	""	"1500"	""		""	""		""	"L3475"	
"407.270"	""	"2000"	""		""	""		""	"L3475"	
"407.493"	""	"310"	""		""	""		""	"L3475"	
"407.653"	""	"200"	""		""	""		""	"L3475"	
"407.831"	""	"240"	""		""	""		""	"L3475"	
"408.122"	""	"2000"	""		""	""		""	"L3475"	
"410.840"	""	"200"	""		""	""		""	"L3475"	
"412.146"	""	"400"	""		""	""		""	"L3475"	
"415.264"	""	"200"	""		""	""		""	"L3475"	
"416.636"	""	"400"	""		""	""		""	"L3475"	
"418.332"	""	"200"	""		""	""		""	"L3475"	
"418.756"	""	"660"	""		""	""		""	"L3475"	
"419.476"	""	"400"	""		""	""		""	"L3475"	
"419.909"	""	"610"	""		""	""		""	"L3475"	
"420.146"	""	"610"	""		""	""		""	"L3475"	
"421.386"	""	"400"	""		""	""		""	"L3475"	
"422.776"	""	"2000"	""		""	""		""	"L3475"	
"423.606"	""	"200"	""		""	""		""	"L3475"	
"423.931"	""	"2000"	""		""	""		""	"L3475"	
"424.034"	""	"770"	""		""	""		""	"L3475"	
"424.120"	""	"770"	""		""	""		""	"L3475"	
"424.169"	""	"1200"	""		""	""		""	"L3475"	
"426.802"	""	"310"	""		""	""		""	"L3475"	
"428.220"	""	"550"	""		""	""		""	"L3475"	
"429.479"	""	"550"	""		""	""		""	"L3475"	
"430.289"	""	"310"	""		""	""		""	"L3475"	
"434.113"	""	"550"	""		""	""		""	"L3475"	
"434.789"	""	"1000"	""		""	""		""	"L3475"	
"436.081"	""	"310"	""		""	""		""	"L3475"	
"436.645"	""	"350"	""		""	""		""	"L3475"	
"441.304"	""	"190"	""		""	""		""	"L3475"	
"442.046"	""	"240"	""		""	""		""	"L3475"	
"442.724"	""	"120"	""		""	""		""	"L3475"	
"443.149"	""	"160"	""		""	""		""	"L3475"	
"445.743"	""	"110"	""		""	""		""	"L3475"	
"446.691"	""	"110"	""		""	""		""	"L3475"	
"447.031"	""	"110"	""		""	""		""	"L3475"	
"447.056"	""	"190"	""		""	""		""	"L3475"	
"450.712"	""	"550"	""		""	""		""	"L3475"	
"453.575"	""	"610"	""		""	""		""	"L3475"	
"454.222"	""	"490"	""		""	""		""	"L3475"	
"455.301"	""	"200"	""		""	""		""	"L3475"	
"455.513"	""	"200"	""		""	""		""	"L3475"	
"455.552"	""	"140"	""		""	""		""	"L3475"	
"457.552"	""	"490"	""		""	""		""	"L3475"	
"458.229"	""	"100"	""		""	""		""	"L3475"	
"459.055"	""	"140"	""		""	""		""	"L3475"	
"460.257"	""	"350"	""		""	""		""	"L3475"	
"460.442"	""	"140"	""		""	""		""	"L3475"	
"462.641"	""	"210"	""		""	""		""	"L3475"	
"463.398"	""	"700"	""		""	""		""	"L3475"	
"464.483"	""	"210"	""		""	""		""	"L3475"	
"468.342"	""	"260"	""		""	""		""	"L3475"	
"468.780"	""	"2300"	""		""	""		""	"L3475"	
"468.845"	""	"510"	""		""	""		""	"L3475"	
"470.779"	""	"110"	""		""	""		""	"L3475"	
"471.008"	""	"1900"	""		""	""		""	"L3475"	
"471.192"	""	"160"	""		""	""		""	"L3475"	
"471.762"	""	"120"	""		""	""		""	"L3475"	
"471.912"	""	"210"	""		""	""		""	"L3475"	
"473.233"	""	"300"	""		""	""		""	"L3475"	
"473.948"	""	"1400"	""		""	""		""	"L3475"	
"476.278"	""	"190"	""		""	""		""	"L3475"	
"477.231"	""	"870"	""		""	""		""	"L3475"	
"478.492"	""	"210"	""		""	""		""	"L3475"	
"478.867"	""	"160"	""		""	""		""	"L3475"	
"480.587"	""	"260"	""		""	""		""	"L3475"	
"480.947"	""	"140"	""		""	""		""	"L3475"	
"481.504"	""	"190"	""		""	""		""	"L3475"	
"481.563"	""	"700"	""		""	""		""	"L3475"	
"482.429"	""	"280"	""		""	""		""	"L3475"	
"482.804"	""	"190"	""		""	""		""	"L3475"	
"483.878"	""	"110"	""		""	""		""	"L3475"	
